url	Project	Assembly	Biosource	Assay	Replicate	Dataset	Description	Lab	Publications	Accession	Experiment
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8bad667e-6003-4828-9a20-07585fa9c811/4DNFIOLKEOME.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIOLKEOME	DNESSU8NFVC
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/92ea551b-5779-4d31-a0f5-621e4bd0eb21/4DNFIVLN8WJE.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIVLN8WJE	DNES4RSKMSF
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/61ee79fa-0617-4083-b121-f92ef3a8905c/4DNFI2111XQA.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI2111XQA	DNESE9ZKE6Z
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/83ebb98d-e5db-403d-aa23-875293156c0e/4DNFI88HXX7D.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFI88HXX7D	DNES81PRZLH
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6d63671a-8f1d-4159-82c0-931b43464772/4DNFIUBM6QK8.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIUBM6QK8	DNES3EAC1H8
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/cccb9014-ce15-4032-81ac-222b3d621cb4/4DNFIVILEERC.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIVILEERC	DNESY1WGMMP
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/21a07867-4007-4ca5-b066-25d3168208dc/4DNFIF7Q43N4.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged CAP-H gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of CAP-H gene, CAP-H gene deletion	HindIII	merged replicates	HiC on sync. CAPH-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIF7Q43N4	DNESEC33NM7
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f738de0f-358b-44bf-97dd-644c8d9b1b1c/4DNFID56VJGW.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on unsorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFID56VJGW	DNESU9VIEWW
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/da97c1d4-bb92-4a77-92a7-f7960f88b9dc/4DNFIYUR29KO.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on unsorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIYUR29KO	DNES3WY8A3I
https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/54ea363a-99e7-4f55-861e-1644acab7939/4DNFIUDPGHO8.hic	External	galGal5	DT40 with random integration of GFP and AID-tagged SMC2 gene, random integration of X. laevis Cdk1, CDK1 disruption, random integration of SMC2 gene, SMC2 gene deletion	HindIII	unreplicated	HiC on unsorted sync. SMC2-AID chicken cells		Job Dekker, UMMS	Gibcus JH et al. (2018) PMID:29348367	4DNFIUDPGHO8	DNES5GUEFXM
